;Latitude;Longitude;Altitude
durban;-29.87098;30.97695;150.0
anseboileau;-4.710958;55.484734;2.0
amitie;-4.321022;55.69336;3.0
vacoas;-20.297094;57.496918;431.0
uomreduit;-20.244968;57.487694;200.0
reservetortues;-19.757626;63.37075;36.0
mrtbrasdeau;-20.139385;57.72605;27.0
diego;-12.348602;49.29341;108.0
antananarivo;-18.89833;47.54642;1309.0
urtampon;-21.269278;55.50702;553.0
urmoufia;-20.90146;55.483593;96.0
urbsrnsec;-20.90146;55.483593;104.0
urbsrn;-20.90146;55.483593;104.0
saintpaulcarat;-21.043228;55.250893;100.0
saintlouisjeanjoly;-21.27139;55.43558;152.0
saintjosephmairie;-21.379078;55.619686;36.0
sainterosemairie;-21.127323;55.793137;24.0
plaineparcnational;-21.1367;55.6241;1057.0
pitondesneiges;-21.095596;55.480305;2990.0
oldbsrnsec;-20.90146;55.483593;96.0
oldbsrn;-20.90146;55.483593;96.0
observatoirevolcan;-21.208588;55.571453;1556.0
marla;-21.102371;55.430576;1593.25
leportmairie;-20.935232;55.290264;12.0
leportbarbusse;-20.934156;55.30779;16.96
edfsaintpierre;-21.313923;55.45107;67.0
edfsaintleu;-21.200642;55.302334;232.0
edfsaintandre;-20.962797;55.622433;200.0
edflapossession;-20.93061;55.328968;13.0
edfboisdenefles;-20.91731;55.476444;337.0
craterebory;-21.244139;55.70902;2584.2
cilaosthermes;-21.12894;55.47332;1255.8
cilaospiscine;-21.136158;55.47416;1213.0
cilaosbrassec;-21.141754;55.489704;1269.0
cavernedufour;-21.109177;55.495655;2495.0
braspanonmoreau;-21.00265;55.682896;20.0
aurere;-21.019772;55.424725;603.0
ouani;-12.132659;44.42928;20.0
hahaya;-11.539412;43.27811;32.0
